FINFO,PERIODO,MES,NATURALEZA,PRODUCTO,APLICATIVO,NOMAREA,NUMERO,SALDO
2018/01,2018,ENE,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,7,443
2018/01,2018,ENE,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1538,20063
2018/01,2018,ENE,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,4,26
2018/01,2018,ENE,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,7,8120
2018/01,2018,ENE,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,291,4597
2018/01,2018,ENE,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,2547,1212
2018/01,2018,ENE,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,33,6
2018/01,2018,ENE,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,75890,169181
2018/01,2018,ENE,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,80,321
2018/01,2018,ENE,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,2363,55810
2018/01,2018,ENE,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA DIST.RED MASIVA,1,12
2018/01,2018,ENE,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,16879,78637
2018/01,2018,ENE,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA DIST.RED MASIVA,4,4
2018/01,2018,ENE,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA B.MINORISTA,47251,13484
2018/01,2018,ENE,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA DIST.RED MASIVA,82,299
2018/01,2018,ENE,PASIVOS,CUENTA VIP,CUENTA CORRIENTE,AREA B.MINORISTA,418,32128
2018/01,2018,ENE,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.INSTITUCIONAL,36,86272
2018/01,2018,ENE,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.MINORISTA,8,11837
2018/01,2018,ENE,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA BCA.EMP. Y CORP,49,191377
2018/01,2018,ENE,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA MERCADOS,185,1016253
2018/01,2018,ENE,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,598,2734354
2018/01,2018,ENE,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.MINORISTA,192,176185
2018/01,2018,ENE,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,465,671760
2018/01,2018,ENE,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA MERCADOS,2648,31002325
2018/01,2018,ENE,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,29,44840
2018/01,2018,ENE,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.MINORISTA,91,11542
2018/01,2018,ENE,PASIVOS,PLAZO PN,CTA.PLAZO,AREA B.MINORISTA,4487,283655
2018/01,2018,ENE,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA B.MINORISTA,8,0
2018/01,2018,ENE,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,6,137
2018/01,2018,ENE,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,5,23
2018/01,2018,ENE,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.MINORISTA,3517,45430
2018/01,2018,ENE,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,210,5852
2018/01,2018,ENE,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA CIB,28,13391
2018/01,2018,ENE,PASIVOS,VISTA PJ SSFF,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,1,0
2018/01,2018,ENE,PASIVOS,VISTA PN RESTO,CUENTA CORRIENTE,AREA B.MINORISTA,206,1733
2018/02,2018,FEB,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,1,0
2018/02,2018,FEB,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1489,19645
2018/02,2018,FEB,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,11,2
2018/02,2018,FEB,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,2,241
2018/02,2018,FEB,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,316,1474
2018/02,2018,FEB,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,2607,1189
2018/02,2018,FEB,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,25,0
2018/02,2018,FEB,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,67220,153540
2018/02,2018,FEB,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,55,142
2018/02,2018,FEB,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,2047,65568
2018/02,2018,FEB,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,16375,74244
2018/02,2018,FEB,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA DIST.RED MASIVA,2,120
2018/02,2018,FEB,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA B.MINORISTA,43117,15437
2018/02,2018,FEB,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA DIST.RED MASIVA,75,75
2018/02,2018,FEB,PASIVOS,CUENTA VIP,CUENTA CORRIENTE,AREA B.MINORISTA,383,16746
2018/02,2018,FEB,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.INSTITUCIONAL,39,145089
2018/02,2018,FEB,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.MINORISTA,2,2135
2018/02,2018,FEB,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA BCA.EMP. Y CORP,32,176791
2018/02,2018,FEB,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA MERCADOS,184,542151
2018/02,2018,FEB,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,332,2171538
2018/02,2018,FEB,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.MINORISTA,158,271096
2018/02,2018,FEB,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,491,604066
2018/02,2018,FEB,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA CIB,1,143
2018/02,2018,FEB,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA MERCADOS,2625,21185693
2018/02,2018,FEB,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,24,36299
2018/02,2018,FEB,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.MINORISTA,71,11460
2018/02,2018,FEB,PASIVOS,PLAZO PN,CTA.PLAZO,AREA B.MINORISTA,3739,228317
2018/02,2018,FEB,PASIVOS,PLAZO PN,CTA.PLAZO,AREA BCA.EMP. Y CORP,2,6961
2018/02,2018,FEB,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA B.MINORISTA,17,653
2018/02,2018,FEB,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,3,52
2018/02,2018,FEB,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,13,0
2018/02,2018,FEB,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.MINORISTA,3204,41450
2018/02,2018,FEB,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,172,11342
2018/02,2018,FEB,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA CIB,22,3377
2018/02,2018,FEB,PASIVOS,VISTA PJ SSFF,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,2,0
2018/02,2018,FEB,PASIVOS,VISTA PN RESTO,CUENTA CORRIENTE,AREA B.MINORISTA,195,2277
2018/03,2018,MAR,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,4,0
2018/03,2018,MAR,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1676,15422
2018/03,2018,MAR,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,20,237
2018/03,2018,MAR,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,8,31123
2018/03,2018,MAR,PASIVOS,AHORRO PJ SSFF,CONTIAHORRO,AREA B.MINORISTA,2,198
2018/03,2018,MAR,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,283,3492
2018/03,2018,MAR,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,2649,1433
2018/03,2018,MAR,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,33,0
2018/03,2018,MAR,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,67944,170058
2018/03,2018,MAR,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,94,350
2018/03,2018,MAR,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,1998,54829
2018/03,2018,MAR,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA DIST.RED MASIVA,1,0
2018/03,2018,MAR,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,19691,97286
2018/03,2018,MAR,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA DIST.RED MASIVA,7,20
2018/03,2018,MAR,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA B.MINORISTA,45488,17686
2018/03,2018,MAR,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA DIST.RED MASIVA,91,142
2018/03,2018,MAR,PASIVOS,CUENTA VIP,CUENTA CORRIENTE,AREA B.MINORISTA,456,23740
2018/03,2018,MAR,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.INSTITUCIONAL,42,62318
2018/03,2018,MAR,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.MINORISTA,7,20918
2018/03,2018,MAR,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA BCA.EMP. Y CORP,17,133829
2018/03,2018,MAR,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA MERCADOS,152,600809
2018/03,2018,MAR,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,394,1667445
2018/03,2018,MAR,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.MINORISTA,117,142634
2018/03,2018,MAR,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,523,835259
2018/03,2018,MAR,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA CIB,1,88
2018/03,2018,MAR,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA MERCADOS,2447,18636522
2018/03,2018,MAR,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,28,42705
2018/03,2018,MAR,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.MINORISTA,71,14697
2018/03,2018,MAR,PASIVOS,PLAZO PN,CTA.PLAZO,AREA B.MINORISTA,2893,237230
2018/03,2018,MAR,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA B.MINORISTA,28,55
