Codigo;Nombre del proveedor;Tipo de servicio;Importe en soles;Mes;
441071;ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;294.35;Enero;
439122;LIMA GAS S.A.      ;Servicios Publicos;1070.79;Enero;
440302;Repsol Comercial SAC      ;Servicios Publicos;75829.29;Enero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;3262.2;Enero;
440954;Sedapar        ;Servicios Publicos;119;Enero;
441078;EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;10692.4;Enero;
441127;ELECTRO DUNAS       ;Servicios Publicos;6064.79;Enero;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;3793.3;Enero;
441333;ELECTROCENTRO        ;Servicios Publicos;6101.9;Enero;
441391;HIDRANDINA        ;Servicios Publicos;19053.8;Enero;
441444;SEDACHIMBOTE S.A.       ;Servicios Publicos;4924.3;Enero;
460378;EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;156.8;Enero;
484338;KALLPA GENERACION S.A.;Servicios Publicos;2879699.25;Enero;
T13868;COESTI S.A.       ;Servicios Publicos;5307.55;Enero;
439141;RANSA COMERCIAL S.A.      ;Operador Logistico;402023.79;Enero;
440302;Repsol Comercial SAC      ;Servicios Publicos;11151;Enero;
440302;Repsol Comercial SAC      ;Servicios Publicos;11151;Enero;
440925;BOLSA DE VALORES DE LIMA S.A.;Gobierno;28041.58;Enero;
440925;BOLSA DE VALORES DE LIMA S.A.;Gobierno;28041.58;Enero;
440954;Sedapar        ;Servicios Publicos;185042.2;Enero;
440954;Sedapar        ;Servicios Publicos;185042.2;Enero;
441621;sind obreros cerveceros;People;111347;Enero;
464191;AUSA ADUANAS S.A.;Comex;660000;Enero;
903090;SINTRAEBACKUS;People;8290;Enero;
439122;LIMA GAS S.A.      ;Servicios Publicos;1223.76;Enero;
440302;Repsol Comercial SAC      ;Servicios Publicos;54015.44;Enero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;666.7;Enero;
T13868;COESTI S.A.       ;Servicios Publicos;49461.37;Enero;
481929;Herza corporate & circuits;People;4994;Enero;
483421;Cooperativa Finantel       ;People;1155077.35;Enero;
902496;cooperativa de servicios multiples;People;100136.44;Enero;
439122;LIMA GAS S.A.      ;Servicios Publicos;1631.68;Enero;
439189;SEDAPAL        ;Servicios Publicos;76.99;Enero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;3994.2;Enero;
440954;Sedapar        ;Servicios Publicos;6837.8;Enero;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;2211.9;Enero;
441071;ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;538.85;Enero;
441127;ELECTRO DUNAS       ;Servicios Publicos;3973;Enero;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1551.85;Enero;
441275;SEDAM HUANCAYO S.A.      ;Servicios Publicos;34.4;Enero;
441333;ELECTROCENTRO        ;Servicios Publicos;11084.5;Enero;
441384;SEDALIB S.A.       ;Servicios Publicos;2676.7;Enero;
441445;eps Seda Cusco      ;Servicios Publicos;1608.7;Enero;
445399;ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;603.3;Enero;
445715;DIRECTV  PERU SRL;Servicios Publicos;2590.67;Enero;
460378;EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;169.1;Enero;
462721;E.P.S. ILO S.A.      ;Servicios Publicos;145.7;Enero;
483421;Cooperativa Finantel       ;People;1155077.35;Enero;
T13868;COESTI S.A.       ;Servicios Publicos;29015.05;Enero;
439189;SEDAPAL        ;Servicios Publicos;7134.81;Enero;
439828;ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;10768.5;Enero;
439918;Quimpac SA       ;Suministros para produccion;74326.49;Enero;
439918;Quimpac SA       ;Suministros para produccion;637236.63;Enero;
439921;LUZ DEL SUR      ;Servicios Publicos;39347;Enero;
