Nombre del proveedor;Tipo de servicio;Importe en soles;Mes
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;294.35;Enero
LIMA GAS S.A.      ;Servicios Publicos;1,070.79;Enero
Repsol Comercial SAC      ;Servicios Publicos;75,829.29;Enero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;3,262.20;Enero
Sedapar        ;Servicios Publicos;119;Enero
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;10,692.40;Enero
ELECTRO DUNAS       ;Servicios Publicos;6,064.79;Enero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;3,793.30;Enero
ELECTROCENTRO        ;Servicios Publicos;6,101.90;Enero
HIDRANDINA        ;Servicios Publicos;19,053.80;Enero
SEDACHIMBOTE S.A.       ;Servicios Publicos;4,924.30;Enero
EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;156.8;Enero
KALLPA GENERACION S.A.;Servicios Publicos;2,879,699.25;Enero
COESTI S.A.       ;Servicios Publicos;5,307.55;Enero
RANSA COMERCIAL S.A.      ;Operador Logistico;402,023.79;Enero
Repsol Comercial SAC      ;Servicios Publicos;11,151.00;Enero
Repsol Comercial SAC      ;Servicios Publicos;11,151.00;Enero
BOLSA DE VALORES DE LIMA S.A.;Gobierno;28,041.58;Enero
BOLSA DE VALORES DE LIMA S.A.;Gobierno;28,041.58;Enero
Sedapar        ;Servicios Publicos;185,042.20;Enero
Sedapar        ;Servicios Publicos;185,042.20;Enero
sind obreros cerveceros;People;111,347.00;Enero
AUSA ADUANAS S.A.;Comex;660,000.00;Enero
SINTRAEBACKUS;People;8,290.00;Enero
LIMA GAS S.A.      ;Servicios Publicos;1,223.76;Enero
Repsol Comercial SAC      ;Servicios Publicos;54,015.44;Enero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;666.7;Enero
COESTI S.A.       ;Servicios Publicos;49,461.37;Enero
Herza corporate & circuits;People;4,994.00;Enero
Cooperativa Finantel       ;People;1,155,077.35;Enero
cooperativa de servicios multiples;People;100,136.44;Enero
LIMA GAS S.A.      ;Servicios Publicos;1,631.68;Enero
SEDAPAL        ;Servicios Publicos;76.99;Enero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;3,994.20;Enero
Sedapar        ;Servicios Publicos;6,837.80;Enero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;2,211.90;Enero
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;538.85;Enero
ELECTRO DUNAS       ;Servicios Publicos;3,973.00;Enero
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1,551.85;Enero
SEDAM HUANCAYO S.A.      ;Servicios Publicos;34.4;Enero
ELECTROCENTRO        ;Servicios Publicos;11,084.50;Enero
SEDALIB S.A.       ;Servicios Publicos;2,676.70;Enero
eps Seda Cusco      ;Servicios Publicos;1,608.70;Enero
ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;603.3;Enero
DIRECTV  PERU SRL;Servicios Publicos;2,590.67;Enero
EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;169.1;Enero
E.P.S. ILO S.A.      ;Servicios Publicos;145.7;Enero
Cooperativa Finantel       ;People;1,155,077.35;Enero
COESTI S.A.       ;Servicios Publicos;29,015.05;Enero
SEDAPAL        ;Servicios Publicos;7,134.81;Enero
ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;10,768.50;Enero
Quimpac SA       ;Suministros para produccion;74,326.49;Enero
Quimpac SA       ;Suministros para produccion;637,236.63;Enero
LUZ DEL SUR      ;Servicios Publicos;39,347.00;Enero
ELECTRO DUNAS       ;Servicios Publicos;3,451.00;Enero
ELECTRO DUNAS       ;Servicios Publicos;2,913.00;Enero
MUNICIP PROVINCIAL DE SAN ROMAN JULIACA   ;Impuestos;1,508.65;Enero
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;176,224.58;Enero
Poma de Romero      ;Alquiler;5,335.00;Enero
PERURAIL        ;Transportadora ;26,265.28;Enero
ELECTRO PUNO S.A.A.      ;Servicios Publicos;5,809.80;Enero
BRITISH AMERICAN HOSPITAL S.A.;Servicios Publicos;125,450.95;Enero
EMAPA CANETE SA      ;Servicios Publicos;344.3;Enero
RIMAC EPS       ;People;5,470.68;Enero
Montes Salinas Luis Gualberto     ;Alquiler;16,000.00;Enero
ONCOSALUD SAC;People;387,956.00;Enero
RELSA        ;Alquiler;388,814.88;Enero
HIDRANDINA        ;Servicios Publicos;5,209.70;Enero
LUZ DEL SUR      ;Servicios Publicos;22,643.20;Enero
LUZ DEL SUR      ;Servicios Publicos;8,191.20;Enero
LUZ DEL SUR      ;Servicios Publicos;25,489.70;Enero
LIMA GAS S.A.      ;Servicios Publicos;815.84;Enero
ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;20,642.50;Enero
Repsol Comercial SAC      ;Servicios Publicos;225,989.76;Enero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;10,956.50;Enero
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;500.6;Enero
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;42,804.30;Enero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2,433.95;Enero
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;3,233.60;Enero
SEDAM HUANCAYO S.A.      ;Servicios Publicos;670.3;Enero
HIDRANDINA        ;Servicios Publicos;5,899.60;Enero
EMAPA-HUARAL S.A.;Servicios Publicos;236.2;Enero
E.P.S. ILO S.A.      ;Servicios Publicos;145.8;Enero
Quimpac SA       ;Suministros para produccion;15,388.38;Enero
Quimpac SA       ;Suministros para produccion;352,152.77;Enero
LUZ DEL SUR      ;Servicios Publicos;35,132.40;Enero
LUZ DEL SUR      ;Servicios Publicos;4,214.60;Enero
LUZ DEL SUR      ;Servicios Publicos;39,129.80;Enero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1,175.80;Enero
Sedapar        ;Servicios Publicos;158.3;Enero
MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;7,954.50;Enero
EMAPA-HUARAL S.A.;Servicios Publicos;234;Enero
SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO - SATCH ;Impuestos;264.35;Enero
AUSA ADUANAS S.A.;Comex;2,159.40;Enero
KALLPA GENERACION S.A.;Servicios Publicos;8,573.75;Enero
KALLPA GENERACION S.A.;Servicios Publicos;2,871,188.48;Enero
LIMA GAS S.A.      ;Servicios Publicos;1,070.79;Enero
LUZ DEL SUR      ;Servicios Publicos;4,502.20;Enero
Sedapar        ;Servicios Publicos;174,888.90;Enero
ELECTRO DUNAS       ;Servicios Publicos;3,578.50;Enero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;40.9;Enero
HIDRANDINA        ;Servicios Publicos;9,943.70;Enero
HIDRANDINA        ;Servicios Publicos;4,148.40;Enero
eps Seda Cusco      ;Servicios Publicos;386,315.00;Enero
EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;259.2;Enero
Quimpac SA       ;Suministros para produccion;56,778.06;Enero
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;11,114.40;Enero
Superintendencia del Mercado de Valores    ;Valores ;4.27;Enero
Superintendencia del Mercado de Valores    ;Valores ;47,258.29;Enero
Tupay Quispe Alejandra      ;Alquiler;6,000.00;Enero
Montes Salinas Luis Gualberto     ;Alquiler;54,000.00;Enero
NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;248,417.06;Enero
ONCOSALUD SAC;People;8,822.78;Enero
Nouchi Zea       ;Alquiler;9,500.00;Enero
RELSA        ;Alquiler;34,625.72;Enero
LIMA GAS S.A.      ;Servicios Publicos;356.93;Febrero
SEDAPAL        ;Servicios Publicos;63,521.60;Febrero
ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;16,141.50;Febrero
ELECTRO DUNAS       ;Servicios Publicos;3,140.00;Febrero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;3,065.15;Febrero
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1,631.35;Febrero
HIDRANDINA        ;Servicios Publicos;5,341.10;Febrero
KALLPA GENERACION S.A.;Servicios Publicos;2,939,319.09;Febrero
COESTI S.A.       ;Servicios Publicos;80,550.26;Febrero
sind obreros cerveceros;People;77,490.00;Febrero
Cooperativa Finantel       ;People;40,210.38;Febrero
cooperativa de servicios multiples;People;131,728.75;Febrero
SINTRAEBACKUS;People;10,000.00;Febrero
RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;729,059.19;Febrero
AUSA ADUANAS S.A.;Comex;60,000.00;Febrero
Cooperativa Finantel       ;People;46,751.67;Febrero
cooperativa de servicios multiples;People;33,604.70;Febrero
Repsol Comercial SAC      ;Servicios Publicos;379,234.17;Febrero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;3,756.00;Febrero
ELECTRO DUNAS       ;Servicios Publicos;1,834.00;Febrero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2,113.05;Febrero
ELECTROCENTRO        ;Servicios Publicos;622.6;Febrero
SEDALIB S.A.       ;Servicios Publicos;3,073.90;Febrero
SEDACHIMBOTE S.A.       ;Servicios Publicos;3,029.50;Febrero
eps Seda Cusco      ;Servicios Publicos;1,749.20;Febrero
DIRECTV  PERU SRL;Servicios Publicos;1,314.51;Febrero
COESTI S.A.       ;Servicios Publicos;299,617.56;Febrero
RANSA COMERCIAL S.A.      ;Operador Logistico;843,895.79;Febrero
SEDAPAL        ;Servicios Publicos;9,649.79;Febrero
SEDAPAL        ;Servicios Publicos;4,809.60;Febrero
SENATI        ;Impuestos;1,699.20;Febrero
Quimpac SA       ;Suministros para produccion;50,151.95;Febrero
Quimpac SA       ;Suministros para produccion;70,692.53;Febrero
Repsol Comercial SAC      ;Servicios Publicos;379,234.17;Febrero
