FECMIG;DIVISA;IMPORTE;NOMBRE EPIGRAFE;GRUPO;TIPO SALDO;AREA
31/12/2018;PEN;194;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;77.37;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;26.06;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;0.01;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;34.38;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;31;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;237.16;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;232.95;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;51931.57;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;21086.24;CUENTAS VIP                        ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;10880.35;VISA PARTICULARES                  ;3.INVERSION RENTABLE     ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1089.7;VENCIDO                            ;4.CARTERA ATRASADA       ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6129.37;CUENTA SUELDO                      ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;8810.6;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;5895.57;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
